#Sample ID,DepthCat,SizeFracCat,sulfide_uMCat,DO_umCat,Turbidity_FNUCat,Temp_CCat,ORP_mVCat,pHCat,Chl-aCat,phycoCat,salinity_psuCat,TDS_mgLCat,IC_assmCat,BHP Cat,totalcellLCat,CH4Cat,SO4Cat,NO3Cat,MnCat,FeCat,NH4Cat,0.4ParticCat,0.2-0.4ParticCat,ParticCat,thiosulfate_µMCat,del13C_POCCat,DescriptionCat,oxcatCat,redoxclineposCat,MonthCat,yearCat
AC-GL4-70C,2,>2.7,1,1,0,1,0,0,0,0,2,2,0,0,2,3,1,0,0,0,3,NAN,NAN,0,1,2,AC_70C_40m,euxinic,below,late July,2017.0
AC-GL4-102C,0,>2.7,0,4,1,2,3,2,0,0,1,0,0,0,1,0,0,2,0,0,0,NAN,NAN,0,0,2,AC_102C_10m,oxic,above,late July,2017.0
AC-GL4-71C,1,>2.7,0,4,0,2,3,2,0,0,1,0,0,1,1,0,0,2,0,0,0,NAN,NAN,0,0,2,AC_71C_15m,oxic,upper boundary,late July,2017.0
AC-GL4-73C,1,>2.7,0,3,0,2,3,1,0,0,1,0,0,1,1,0,0,2,0,0,0,NAN,NAN,0,0,1,AC_73C_16m,oxic,inside,late July,2017.0
AC-GL4-69C,1,>2.7,0,1,0,2,3,0,0,0,2,1,1,1,1,0,0,1,1,0,1,NAN,NAN,0,0,1,AC_69C_19m,hypoxic,inside,late July,2017.0
AC-GL4-59C,1,>2.7,0,1,2,2,3,0,2,2,2,1,1,2,1,1,0,0,1,0,1,NAN,NAN,1,0,1,AC_59C_20m dil 1:100,euxinic,lower boundary,late July,2017.0
AC-GL4-54C,1,>2.7,1,1,2,2,1,0,1,1,2,1,2,0,3,1,0,0,3,3,1,NAN,NAN,2,1,0,AC_54C_20.5m dil 1:100,euxinic,below,late July,2017.0
AC-GL4-60C,1,>2.7,1,1,2,2,0,0,0,1,2,1,2,0,2,1,0,0,2,4,1,NAN,NAN,1,1,1,AC_60C_21m,euxinic,below,late July,2017.0
AC-GL4-50C,1,>2.7,1,1,2,1,0,0,0,1,2,1,1,0,1,2,1,0,1,2,2,NAN,NAN,0,1,1,AC_50C_23m,euxinic,below,late July,2017.0
AC-GL4-61C,1,>2.7,1,1,2,0,1,0,0,0,0,1,1,0,1,2,1,0,1,1,2,NAN,NAN,0,1,1,AC_61C_25m,euxinic,below,late July,2017.0
